subject,AM,pre_post,efr_lvl,response_lvl
ger15_22,3kHz 1024Hz AM,post,50,2.314
ger15_22,3kHz 1024Hz AM,post,60,1.936
ger15_22,3kHz 1024Hz AM,post,70,2.306
ger15_22,3kHz 1024Hz AM,post,80,2.818
ger15_22,3kHz 1024Hz AM,post,90,4.114
ger15_22,3kHz 1024Hz AM,post,100,2.458
ger13_22,3kHz 40Hz AM,pre,20,8.406
ger13_22,3kHz 40Hz AM,pre,30,5.716
ger13_22,3kHz 40Hz AM,pre,40,6.661
ger13_22,3kHz 40Hz AM,pre,50,2.982
ger13_22,3kHz 40Hz AM,pre,60,11.08
ger13_22,3kHz 40Hz AM,pre,70,11.95
ger13_22,3kHz 40Hz AM,pre,80,20.11
ger13_22,3kHz 40Hz AM,pre,90,25.46
ger13_22,3kHz 40Hz AM,pre,100,20.46
ger13_22,3kHz 40Hz AM,post,20,5.492
ger13_22,3kHz 40Hz AM,post,30,6.991
ger13_22,3kHz 40Hz AM,post,40,2.665
ger13_22,3kHz 40Hz AM,post,50,5.801
ger13_22,3kHz 40Hz AM,post,60,8.856
ger13_22,3kHz 40Hz AM,post,70,2.924
ger13_22,3kHz 40Hz AM,post,80,11.38
ger13_22,3kHz 40Hz AM,post,90,25.95
ger13_22,3kHz 40Hz AM,post,100,28.71
ger13_22,3kHz 512Hz AM,pre,20,0.0488
ger13_22,3kHz 512Hz AM,pre,30,0.1882
ger13_22,3kHz 512Hz AM,pre,40,0.1102
ger13_22,3kHz 512Hz AM,pre,50,0.6006
ger13_22,3kHz 512Hz AM,pre,60,0.3135
ger13_22,3kHz 512Hz AM,pre,70,0.3201
ger13_22,3kHz 512Hz AM,pre,80,1.735
ger13_22,3kHz 512Hz AM,pre,90,2.066
ger13_22,3kHz 512Hz AM,pre,100,5.626
ger13_22,3kHz 512Hz AM,post,20,0.1857
ger13_22,3kHz 512Hz AM,post,30,0.9696
ger13_22,3kHz 512Hz AM,post,40,4.707
ger13_22,3kHz 512Hz AM,post,50,6.421
ger13_22,3kHz 512Hz AM,post,60,5.114
ger13_22,3kHz 512Hz AM,post,70,7.372
ger13_22,3kHz 512Hz AM,post,80,8.101
ger13_22,3kHz 512Hz AM,post,90,20.07
ger13_22,3kHz 512Hz AM,post,100,24.64
ger13_22,3kHz 1024Hz AM,pre,20,0.1821
ger13_22,3kHz 1024Hz AM,pre,30,0.8617
ger13_22,3kHz 1024Hz AM,pre,40,0.2395
ger13_22,3kHz 1024Hz AM,pre,50,0.0455
ger13_22,3kHz 1024Hz AM,pre,60,0.2051
ger13_22,3kHz 1024Hz AM,pre,70,0.5029
ger13_22,3kHz 1024Hz AM,pre,80,1.103
ger13_22,3kHz 1024Hz AM,pre,90,1.262
ger13_22,3kHz 1024Hz AM,pre,100,1.948
ger13_22,3kHz 1024Hz AM,post,20,0.0325
ger13_22,3kHz 1024Hz AM,post,30,0.1956
ger13_22,3kHz 1024Hz AM,post,40,0.3042
ger13_22,3kHz 1024Hz AM,post,50,1.361
ger13_22,3kHz 1024Hz AM,post,60,1.504
ger13_22,3kHz 1024Hz AM,post,70,3.111
ger13_22,3kHz 1024Hz AM,post,80,3.829
ger13_22,3kHz 1024Hz AM,post,90,4.023
ger13_22,3kHz 1024Hz AM,post,100,2.711
ger14_22,3kHz 40Hz AM,pre,20,9.708
ger14_22,3kHz 40Hz AM,pre,30,14.53
ger14_22,3kHz 40Hz AM,pre,40,8.584
ger14_22,3kHz 40Hz AM,pre,50,11.01
ger14_22,3kHz 40Hz AM,pre,60,1.649
ger14_22,3kHz 40Hz AM,pre,70,11.8
ger14_22,3kHz 40Hz AM,pre,80,23.14
ger14_22,3kHz 40Hz AM,pre,90,15.19
ger14_22,3kHz 40Hz AM,pre,100,95.17
ger14_22,3kHz 40Hz AM,post,20,20.88
ger14_22,3kHz 40Hz AM,post,30,4.768
ger14_22,3kHz 40Hz AM,post,40,7.998
ger14_22,3kHz 40Hz AM,post,50,16.48
ger14_22,3kHz 40Hz AM,post,60,1.424
ger14_22,3kHz 40Hz AM,post,70,23.07
ger14_22,3kHz 40Hz AM,post,80,26.25
ger14_22,3kHz 40Hz AM,post,90,16.49
ger14_22,3kHz 40Hz AM,post,100,24.29
ger14_22,3kHz 512Hz AM,pre,20,0.3903
ger14_22,3kHz 512Hz AM,pre,30,0.1916
ger14_22,3kHz 512Hz AM,pre,40,0.3065
ger14_22,3kHz 512Hz AM,pre,50,0.1852
ger14_22,3kHz 512Hz AM,pre,60,781.2
ger14_22,3kHz 512Hz AM,pre,70,5.026
ger14_22,3kHz 512Hz AM,pre,80,3.93
ger14_22,3kHz 512Hz AM,pre,90,2.58
ger14_22,3kHz 512Hz AM,pre,100,11.2
ger14_22,3kHz 512Hz AM,post,20,0.3981
ger14_22,3kHz 512Hz AM,post,30,2.95
ger14_22,3kHz 512Hz AM,post,40,1.017
ger14_22,3kHz 512Hz AM,post,50,4.992
ger14_22,3kHz 512Hz AM,post,60,6.419
ger14_22,3kHz 512Hz AM,post,70,6.398
ger14_22,3kHz 512Hz AM,post,80,5.846
ger14_22,3kHz 512Hz AM,post,90,12.55
ger14_22,3kHz 512Hz AM,post,100,21.21
ger14_22,3kHz 1024Hz AM,pre,10,
ger14_22,3kHz 1024Hz AM,pre,20,
ger14_22,3kHz 1024Hz AM,pre,30,
ger14_22,3kHz 1024Hz AM,pre,40,
ger14_22,3kHz 1024Hz AM,pre,50,
ger14_22,3kHz 1024Hz AM,pre,60,
ger14_22,3kHz 1024Hz AM,pre,70,
ger14_22,3kHz 1024Hz AM,pre,80,
ger14_22,3kHz 1024Hz AM,pre,90,
ger14_22,3kHz 1024Hz AM,pre,100,
ger14_22,3kHz 1024Hz AM,post,20,0.2807
ger14_22,3kHz 1024Hz AM,post,30,0.6717
ger14_22,3kHz 1024Hz AM,post,40,0.2024
ger14_22,3kHz 1024Hz AM,post,50,0.7962
ger14_22,3kHz 1024Hz AM,post,60,0.7163
ger14_22,3kHz 1024Hz AM,post,70,0.2376
ger14_22,3kHz 1024Hz AM,post,80,0.0244
ger14_22,3kHz 1024Hz AM,post,90,0.1611
ger14_22,3kHz 1024Hz AM,post,100,0.1059
